Series,Value,Time
0,37.9,2018-11-18T08:41:03-02:00
1,37.9,2018-11-18T08:41:13-02:00
2,37.9,2018-11-18T08:41:23-02:00
3,37.9,2018-11-18T08:41:33-02:00
4,37.9,2018-11-18T08:41:43-02:00
5,37.9,2018-11-18T08:41:53-02:00
6,37.9,2018-11-18T08:42:03-02:00
7,37.9,2018-11-18T08:42:13-02:00
8,37.9,2018-11-18T08:42:23-02:00
9,37.9,2018-11-18T08:42:33-02:00
10,37.9,2018-11-18T08:44:59-02:00
11,37.9,2018-11-18T08:45:09-02:00
12,40.1,2018-11-18T08:45:19-02:00
13,39,2018-11-18T08:45:29-02:00
14,40.1,2018-11-18T08:45:39-02:00
15,40.1,2018-11-18T08:45:49-02:00
16,40.1,2018-11-18T08:45:59-02:00
17,40.6,2018-11-18T08:46:09-02:00
18,40.6,2018-11-18T08:46:19-02:00
19,39.5,2018-11-18T08:46:29-02:00
20,39,2018-11-18T08:46:40-02:00
21,39,2018-11-18T08:46:50-02:00
22,38.5,2018-11-18T08:47:00-02:00
23,38.5,2018-11-18T08:47:10-02:00
24,38.5,2018-11-18T08:47:20-02:00
25,37.9,2018-11-18T08:48:37-02:00
26,37.4,2018-11-18T08:48:47-02:00
27,37.9,2018-11-18T08:48:57-02:00
28,37.9,2018-11-18T08:49:07-02:00
29,37.9,2018-11-18T08:49:17-02:00
30,37.9,2018-11-18T08:49:27-02:00
31,36.9,2018-11-18T08:49:37-02:00
32,37.9,2018-11-18T08:49:47-02:00
33,37.4,2018-11-18T08:49:57-02:00
34,37.9,2018-11-18T08:50:07-02:00
35,37.9,2018-11-18T08:50:17-02:00
36,37.4,2018-11-18T08:50:27-02:00
37,37.4,2018-11-18T08:50:37-02:00
38,36.3,2018-11-18T08:50:47-02:00
39,36.9,2018-11-18T08:50:57-02:00
40,36.9,2018-11-18T08:51:07-02:00
41,36.9,2018-11-18T08:51:17-02:00
42,36.3,2018-11-18T08:51:28-02:00
43,36.9,2018-11-18T08:51:38-02:00
44,36.9,2018-11-18T08:51:48-02:00
45,36.9,2018-11-18T08:51:58-02:00
46,36.9,2018-11-18T08:52:08-02:00
47,36.9,2018-11-18T08:52:18-02:00
48,36.9,2018-11-18T08:52:28-02:00
49,37.4,2018-11-18T08:52:38-02:00
50,36.9,2018-11-18T08:52:48-02:00
51,36.9,2018-11-18T08:52:58-02:00
52,36.9,2018-11-18T08:53:08-02:00
53,36.9,2018-11-18T08:53:18-02:00
54,36.9,2018-11-18T08:53:28-02:00
55,36.9,2018-11-18T08:53:38-02:00
56,36.9,2018-11-18T08:53:48-02:00
57,36.9,2018-11-18T08:53:58-02:00
58,36.9,2018-11-18T08:54:08-02:00
59,36.3,2018-11-18T08:54:18-02:00
60,36.3,2018-11-18T08:54:28-02:00
61,36.9,2018-11-18T08:54:38-02:00
62,36.3,2018-11-18T08:54:48-02:00
63,36.3,2018-11-18T08:54:58-02:00
64,36.3,2018-11-18T08:55:08-02:00
65,36.9,2018-11-18T08:55:18-02:00
66,36.9,2018-11-18T08:55:29-02:00
67,36.9,2018-11-18T08:55:39-02:00
68,36.3,2018-11-18T08:55:49-02:00
69,36.3,2018-11-18T08:55:59-02:00
70,36.3,2018-11-18T08:56:09-02:00
71,36.9,2018-11-18T08:56:19-02:00
72,36.3,2018-11-18T08:56:29-02:00
73,36.3,2018-11-18T08:56:39-02:00
74,36.3,2018-11-18T08:56:49-02:00
75,36.3,2018-11-18T08:56:59-02:00
76,35.8,2018-11-18T08:57:09-02:00
77,36.9,2018-11-18T08:57:19-02:00
78,36.9,2018-11-18T08:57:29-02:00
79,36.3,2018-11-18T08:57:39-02:00
80,35.8,2018-11-18T08:57:49-02:00
81,36.3,2018-11-18T08:57:59-02:00
82,35.8,2018-11-18T08:58:09-02:00
83,36.9,2018-11-18T08:58:19-02:00
84,36.3,2018-11-18T08:58:29-02:00
85,36.3,2018-11-18T08:58:39-02:00
86,36.3,2018-11-18T08:58:49-02:00
87,36.3,2018-11-18T08:58:59-02:00
88,36.3,2018-11-18T08:59:09-02:00
89,36.3,2018-11-18T08:59:19-02:00
90,35.8,2018-11-18T08:59:29-02:00
91,35.8,2018-11-18T08:59:40-02:00
92,35.8,2018-11-18T08:59:50-02:00
93,36.3,2018-11-18T09:00:00-02:00
94,35.8,2018-11-18T09:00:10-02:00
95,36.3,2018-11-18T09:00:20-02:00
96,35.8,2018-11-18T09:00:30-02:00
97,35.8,2018-11-18T09:00:40-02:00
98,35.8,2018-11-18T09:00:50-02:00
99,35.8,2018-11-18T09:01:00-02:00
100,36.3,2018-11-18T09:01:10-02:00
101,35.8,2018-11-18T09:01:20-02:00
102,35.8,2018-11-18T09:01:30-02:00
103,35.8,2018-11-18T09:01:40-02:00
104,36.3,2018-11-18T09:01:50-02:00
105,36.3,2018-11-18T09:02:00-02:00
106,35.8,2018-11-18T09:02:10-02:00
107,35.8,2018-11-18T09:02:20-02:00
108,35.8,2018-11-18T09:02:30-02:00
109,35.8,2018-11-18T09:02:40-02:00
110,36.3,2018-11-18T09:02:50-02:00
111,35.8,2018-11-18T09:03:00-02:00
112,36.3,2018-11-18T09:03:10-02:00
113,36.3,2018-11-18T09:03:20-02:00
114,36.3,2018-11-18T09:03:30-02:00
115,35.8,2018-11-18T09:03:41-02:00
116,35.8,2018-11-18T09:03:51-02:00
117,36.3,2018-11-18T09:04:01-02:00
118,35.8,2018-11-18T09:04:11-02:00
119,35.8,2018-11-18T09:04:21-02:00
120,36.3,2018-11-18T09:04:31-02:00
121,36.3,2018-11-18T09:04:41-02:00
122,35.8,2018-11-18T09:04:51-02:00
123,35.8,2018-11-18T09:05:01-02:00
124,36.3,2018-11-18T09:05:11-02:00
125,35.8,2018-11-18T09:05:21-02:00
126,35.8,2018-11-18T09:05:31-02:00
127,35.8,2018-11-18T09:05:41-02:00
128,35.8,2018-11-18T09:05:51-02:00
129,36.3,2018-11-18T09:06:01-02:00
130,35.8,2018-11-18T09:06:11-02:00
131,35.8,2018-11-18T09:06:21-02:00
132,35.8,2018-11-18T09:06:31-02:00
133,35.8,2018-11-18T09:06:41-02:00
134,35.8,2018-11-18T09:06:51-02:00
135,35.8,2018-11-18T09:07:01-02:00
136,35.8,2018-11-18T09:07:11-02:00
137,35.8,2018-11-18T09:07:21-02:00
138,35.8,2018-11-18T09:07:31-02:00
139,35.8,2018-11-18T09:07:41-02:00
140,35.8,2018-11-18T09:07:51-02:00
141,35.8,2018-11-18T09:08:01-02:00
142,35.8,2018-11-18T09:08:11-02:00
143,35.8,2018-11-18T09:08:21-02:00
144,35.8,2018-11-18T09:08:31-02:00
145,35.8,2018-11-18T09:08:41-02:00
146,35.8,2018-11-18T09:08:51-02:00
147,35.8,2018-11-18T09:09:01-02:00
148,35.8,2018-11-18T09:09:11-02:00
149,35.8,2018-11-18T09:09:21-02:00
150,35.8,2018-11-18T09:09:31-02:00
151,35.8,2018-11-18T09:09:41-02:00
152,36.3,2018-11-18T09:09:52-02:00
153,35.8,2018-11-18T09:10:02-02:00
154,35.8,2018-11-18T09:10:12-02:00
155,35.8,2018-11-18T09:10:22-02:00
156,36.3,2018-11-18T09:10:32-02:00
157,35.8,2018-11-18T09:10:42-02:00
158,35.8,2018-11-18T09:10:52-02:00
159,35.8,2018-11-18T09:11:02-02:00
160,35.8,2018-11-18T09:11:12-02:00
161,35.8,2018-11-18T09:11:22-02:00
162,35.8,2018-11-18T09:11:32-02:00
163,35.8,2018-11-18T09:11:42-02:00
164,35.8,2018-11-18T09:11:52-02:00
