city,area,rooms,bathroom,parking spaces
São Paulo,70,2,1,1
São Paulo,320,4,4,0
Porto Alegre,80,1,1,1
Porto Alegre,51,2,1,0
São Paulo,25,1,1,0
São Paulo,376,3,3,7
Rio de Janeiro,72,2,1,0
São Paulo,213,4,4,4
São Paulo,152,2,2,1
Rio de Janeiro,35,1,1,0
São Paulo,26,1,1,0
Campinas,46,1,1,1
São Paulo,36,1,1,0
São Paulo,55,1,1,1
São Paulo,100,2,2,2
Campinas,330,4,6,6
São Paulo,110,2,2,1
Rio de Janeiro,88,2,3,1
Rio de Janeiro,56,2,1,0
São Paulo,600,4,5,6
São Paulo,100,7,4,0
Belo Horizonte,42,1,1,1
São Paulo,160,3,2,2
São Paulo,35,1,1,0
Rio de Janeiro,90,3,2,1
São Paulo,49,1,1,1
São Paulo,41,1,1,1
Belo Horizonte,64,2,2,1
Campinas,208,3,2,4
São Paulo,20,1,1,0
São Paulo,55,2,2,2
São Paulo,32,1,1,0
São Paulo,80,2,2,1
Rio de Janeiro,45,1,1,1
São Paulo,350,4,4,3
Porto Alegre,38,1,1,2
São Paulo,30,1,1,0
Belo Horizonte,80,3,2,1
São Paulo,70,2,1,0
Porto Alegre,40,1,1,1
São Paulo,300,4,6,4
São Paulo,240,3,2,3
Belo Horizonte,200,4,2,1
Belo Horizonte,45,1,1,1
São Paulo,360,4,5,0
São Paulo,40,1,1,1
Belo Horizonte,100,3,1,0
Porto Alegre,42,1,1,2
Campinas,250,3,3,2
Campinas,48,1,1,1
Rio de Janeiro,90,3,3,1
São Paulo,45,1,2,1
Rio de Janeiro,150,2,3,4
São Paulo,60,2,1,0
São Paulo,31,1,1,0
São Paulo,210,4,5,4
São Paulo,280,3,1,2
Campinas,93,2,3,2
Porto Alegre,75,3,2,1
São Paulo,194,3,4,3
São Paulo,41,1,1,1
Rio de Janeiro,65,1,1,1
São Paulo,70,2,1,1
São Paulo,278,4,5,2
Rio de Janeiro,35,1,1,0
Campinas,300,4,4,3
São Paulo,61,2,1,1
Rio de Janeiro,130,3,2,1
Rio de Janeiro,80,2,1,1
São Paulo,164,4,4,2
Belo Horizonte,220,4,2,3
São Paulo,45,1,1,0
São Paulo,108,3,2,2
Belo Horizonte,128,1,1,0
Rio de Janeiro,60,1,1,0
São Paulo,250,4,5,4
Porto Alegre,47,1,1,1
Belo Horizonte,170,4,3,4
São Paulo,45,1,1,0
São Paulo,42,1,1,1
São Paulo,164,4,4,3
São Paulo,70,3,1,1
Porto Alegre,100,4,3,1
São Paulo,64,2,2,2
Belo Horizonte,68,2,1,1
Belo Horizonte,75,2,2,2
São Paulo,600,4,4,4
São Paulo,63,2,2,0
São Paulo,145,3,4,3
São Paulo,85,2,2,2
São Paulo,254,4,4,4
Porto Alegre,350,4,4,4
São Paulo,300,4,4,3
Belo Horizonte,296,4,3,2
São Paulo,64,2,2,2
São Paulo,133,3,2,0
Campinas,44,1,1,0
Campinas,240,3,4,2
Porto Alegre,70,3,2,1
São Paulo,22,1,1,0
Porto Alegre,50,1,1,1
Porto Alegre,67,3,2,2
São Paulo,31,1,1,0
Rio de Janeiro,90,2,1,1
Rio de Janeiro,109,3,3,1
Belo Horizonte,400,4,2,2
São Paulo,300,4,5,4
Campinas,284,4,3,3
Porto Alegre,70,2,1,1
Rio de Janeiro,309,4,5,4
São Paulo,70,2,1,0
São Paulo,360,3,4,1
São Paulo,30,1,1,1
Campinas,80,2,2,2
Belo Horizonte,133,4,4,3
São Paulo,38,1,1,1
São Paulo,73,2,2,1
São Paulo,155,3,4,2
São Paulo,63,2,2,1
São Paulo,58,2,1,1
São Paulo,48,1,1,0
São Paulo,210,3,4,3
Belo Horizonte,100,3,2,2
São Paulo,94,3,2,2
São Paulo,94,3,3,2
São Paulo,76,3,1,1
São Paulo,192,3,3,2
São Paulo,217,3,4,3
São Paulo,68,2,1,1
São Paulo,110,3,2,2
Belo Horizonte,95,2,2,1
São Paulo,900,4,6,8
São Paulo,34,1,1,0
São Paulo,192,3,4,3
Porto Alegre,62,2,2,1
São Paulo,180,3,3,4
Campinas,44,1,1,0
Belo Horizonte,100,2,1,1
Rio de Janeiro,140,3,3,1
São Paulo,170,3,3,3
São Paulo,100,3,2,2
São Paulo,75,3,2,2
Rio de Janeiro,52,2,1,0
Campinas,999,5,7,8
São Paulo,270,4,4,4
Belo Horizonte,50,2,1,1
Campinas,200,3,3,2
São Paulo,71,2,2,0
São Paulo,500,5,4,6
São Paulo,60,2,1,0
São Paulo,110,2,1,0
São Paulo,210,3,3,4
São Paulo,220,3,4,3
Belo Horizonte,200,3,2,5
São Paulo,130,3,4,3
São Paulo,65,2,2,2
São Paulo,96,3,2,2
São Paulo,660,4,5,5
Rio de Janeiro,107,3,2,0
Rio de Janeiro,105,3,2,0
Rio de Janeiro,100,3,2,0
São Paulo,287,3,4,4
Campinas,24,1,1,0
São Paulo,22,1,1,0
São Paulo,70,1,1,1
Porto Alegre,44,1,1,1
São Paulo,150,3,2,2
São Paulo,90,1,2,2
São Paulo,200,4,4,2
São Paulo,320,8,4,0
Porto Alegre,90,2,1,1
São Paulo,240,4,4,3
São Paulo,154,4,3,3
São Paulo,60,2,2,2
Campinas,101,3,2,0
Porto Alegre,140,3,4,2
São Paulo,500,4,5,8
São Paulo,110,3,3,3
São Paulo,110,3,3,2
Belo Horizonte,90,2,2,2
São Paulo,384,4,6,4
São Paulo,57,2,1,1
São Paulo,160,3,3,2
São Paulo,39,1,1,0
Campinas,78,1,2,1
Porto Alegre,36,1,1,1
Campinas,70,2,1,1
Belo Horizonte,45,1,1,1
São Paulo,200,3,4,3
São Paulo,100,3,3,3
São Paulo,42,1,1,1
São Paulo,280,4,4,1
São Paulo,28,1,1,1
São Paulo,30,1,1,0
Belo Horizonte,85,3,2,1
Campinas,83,1,1,1
Campinas,85,3,2,2
Belo Horizonte,90,3,2,2
Belo Horizonte,50,2,1,0
Rio de Janeiro,50,1,1,0
Belo Horizonte,300,3,2,3
Porto Alegre,39,1,1,0
São Paulo,750,4,4,6
Porto Alegre,60,2,1,0
Rio de Janeiro,68,2,1,0
São Paulo,70,2,1,1
São Paulo,90,2,2,1
Rio de Janeiro,258,5,6,0
São Paulo,200,2,2,6
São Paulo,123,2,2,2
São Paulo,127,3,2,2
Belo Horizonte,180,4,2,2
São Paulo,110,3,2,0
Rio de Janeiro,70,2,2,1
São Paulo,35,1,1,1
São Paulo,219,3,2,2
Rio de Janeiro,25,1,1,0
Rio de Janeiro,170,4,5,0
Rio de Janeiro,45,1,1,0
Belo Horizonte,420,4,4,2
Porto Alegre,46,1,1,0
São Paulo,145,3,3,2
Belo Horizonte,59,2,2,1
Belo Horizonte,225,4,3,0
São Paulo,210,4,4,3
Porto Alegre,76,1,1,0
São Paulo,220,3,4,3
São Paulo,109,3,2,2
Belo Horizonte,95,2,1,1
São Paulo,32,1,1,0
São Paulo,480,4,6,5
São Paulo,53,1,1,1
São Paulo,40,1,1,0
São Paulo,50,1,1,1
São Paulo,60,1,1,0
Porto Alegre,64,2,2,2
Rio de Janeiro,140,3,3,2
São Paulo,121,3,3,1
Campinas,43,1,1,1
São Paulo,20,1,1,1
Campinas,58,2,1,1
Belo Horizonte,570,5,6,7
São Paulo,88,2,1,1
São Paulo,89,3,2,2
Porto Alegre,47,1,1,1
São Paulo,40,1,1,0
Rio de Janeiro,40,1,1,0
Rio de Janeiro,60,1,2,1
São Paulo,25,1,1,0
Porto Alegre,50,2,1,0
Porto Alegre,90,3,1,0
São Paulo,173,3,3,3
Campinas,91,3,2,2
São Paulo,90,3,2,2
São Paulo,530,5,6,4
Belo Horizonte,155,1,4,0
São Paulo,40,1,1,0
São Paulo,296,4,5,3
São Paulo,87,3,2,1
São Paulo,300,3,3,5
São Paulo,136,3,3,3
São Paulo,52,2,1,0
Porto Alegre,94,2,2,2
Rio de Janeiro,300,4,5,3
Rio de Janeiro,100,3,3,1
São Paulo,500,4,6,3
São Paulo,240,3,4,3
Belo Horizonte,308,2,3,3
São Paulo,350,4,5,4
São Paulo,75,2,2,0
São Paulo,155,3,2,3
São Paulo,260,3,5,4
São Paulo,80,2,2,1
Rio de Janeiro,85,3,1,1
São Paulo,120,2,2,2
São Paulo,100,2,2,1
São Paulo,240,4,5,4
São Paulo,360,7,6,6
São Paulo,42,1,1,0
São Paulo,33,1,1,1
Rio de Janeiro,48,1,1,0
Rio de Janeiro,36,1,1,0
São Paulo,270,6,3,6
Campinas,75,2,1,1
Rio de Janeiro,46,2,1,0
São Paulo,350,3,3,3
Porto Alegre,131,3,3,1
Campinas,90,3,2,1
Rio de Janeiro,26,1,1,0
Rio de Janeiro,44,1,1,0
São Paulo,70,2,2,0
Belo Horizonte,40,1,1,0
Belo Horizonte,320,4,2,4
São Paulo,213,2,2,3
São Paulo,80,2,1,0
Campinas,70,1,1,0
Rio de Janeiro,60,2,1,1
São Paulo,270,4,4,4
Rio de Janeiro,70,2,1,1
Porto Alegre,300,6,2,2
São Paulo,220,4,5,3
Porto Alegre,64,2,2,2
Rio de Janeiro,80,3,3,1
São Paulo,56,1,1,0
São Paulo,161,4,3,2
São Paulo,35,1,1,0
São Paulo,720,4,6,5
São Paulo,280,4,5,4
Porto Alegre,96,3,2,0
Campinas,236,3,4,4
São Paulo,81,3,2,1
São Paulo,62,2,1,1
Belo Horizonte,125,3,2,0
São Paulo,37,1,1,1
São Paulo,60,2,2,1
São Paulo,230,4,2,3
São Paulo,210,4,5,2
São Paulo,450,4,3,8
São Paulo,234,3,5,4
Belo Horizonte,135,4,3,2
São Paulo,395,4,5,3
Porto Alegre,92,2,2,1
São Paulo,412,3,5,6
São Paulo,42,1,1,1
São Paulo,33,1,1,0
Porto Alegre,28,2,1,1
São Paulo,190,4,4,2
São Paulo,165,4,3,3
Porto Alegre,44,1,1,0
São Paulo,60,2,1,1
São Paulo,380,3,3,2
Rio de Janeiro,73,2,1,0
Belo Horizonte,19,1,1,0
Campinas,230,3,5,4
Porto Alegre,37,1,1,1
São Paulo,124,3,2,3
Rio de Janeiro,115,3,2,1
Campinas,600,3,3,4
Rio de Janeiro,700,5,5,4
Porto Alegre,35,1,1,0
Belo Horizonte,15,1,1,0
Campinas,80,3,2,1
Porto Alegre,48,1,1,0
Belo Horizonte,96,3,2,1
São Paulo,150,3,2,1
Belo Horizonte,105,3,2,2
Belo Horizonte,204,4,4,4
Rio de Janeiro,125,3,1,2
Rio de Janeiro,50,2,1,0
São Paulo,250,3,4,3
São Paulo,300,3,4,3
São Paulo,80,2,1,1
Rio de Janeiro,130,3,4,1
São Paulo,120,2,3,0
São Paulo,540,3,3,4
São Paulo,23,1,1,0
São Paulo,15,1,1,0
São Paulo,72,1,2,2
Rio de Janeiro,95,3,2,2
São Paulo,330,4,5,4
São Paulo,75,2,2,2
São Paulo,53,1,1,1
São Paulo,178,3,2,1
São Paulo,150,3,2,0
São Paulo,50,2,1,1
São Paulo,150,3,2,1
Porto Alegre,25,1,1,0
São Paulo,210,3,4,4
Belo Horizonte,75,3,2,1
Belo Horizonte,200,2,4,3
São Paulo,350,4,4,0
Porto Alegre,49,2,1,1
Porto Alegre,40,1,1,0
São Paulo,45,1,1,1
São Paulo,46,1,1,1
São Paulo,80,2,2,2
São Paulo,30,1,1,0
São Paulo,80,2,2,2
Rio de Janeiro,105,2,2,1
Belo Horizonte,105,3,2,2
São Paulo,114,3,1,0
São Paulo,200,3,3,4
Porto Alegre,120,3,3,2
São Paulo,60,2,2,1
São Paulo,90,2,1,1
Rio de Janeiro,53,2,1,0
São Paulo,80,2,2,5
Campinas,87,4,2,2
Rio de Janeiro,110,3,1,1
Belo Horizonte,113,4,2,1
São Paulo,170,3,2,2
São Paulo,150,3,2,0
Porto Alegre,60,2,2,1
Porto Alegre,43,1,1,0
São Paulo,130,3,2,2
São Paulo,69,3,2,0
Campinas,306,3,2,2
São Paulo,187,3,2,3
São Paulo,385,3,4,3
São Paulo,355,4,4,3
Porto Alegre,90,2,1,1
São Paulo,190,3,4,4
Campinas,181,2,1,2
São Paulo,350,3,5,4
Belo Horizonte,168,5,3,2
Rio de Janeiro,73,2,1,0
São Paulo,378,5,5,4
Campinas,60,2,1,1
